GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0009678	15	7	2.1437	0.9958	-1.106175102	0.134013933	0.237228354	no
Unigene0009679	38	25	3.7523	2.4572	-0.610759889	0.1305217	0.232053725	no
Unigene0009680	12	8	2.1872	1.4515	-0.591540576	0.503660778	0.66339736	no
Unigene0009681	39	41	4.8612	5.087	0.065502603	0.91124945	1	no
Unigene0009682	2956	3059	48.5327	49.993	0.04276898	0.3189911	0.475800844	no
Unigene0009683	2366	3428	41.3493	59.6339	0.528269784	2.37E-34	3.98E-33	no
Unigene0009684	0	8	0.001	1.5371	10.58599531	0.007823441	0.020587145	yes
Unigene0009685	277	1020	10.3489	37.9327	1.873964635	8.38E-94	3.47E-92	yes
Unigene0009686	21	88	1.9754	8.2397	2.060446996	6.83E-11	4.76E-10	yes
Unigene0009687	60	75	6.4643	8.0432	0.315275441	0.229670314	0.36781007	no
Unigene0009688	389	341	12.1219	10.5773	-0.196644439	0.074777241	0.146556055	no
Unigene0009689	164	148	12.3707	11.1125	-0.154743719	0.399456595	0.567477962	no
Unigene0009690	777	893	16.1418	18.4664	0.194101177	0.009045046	0.023484489	no
