id      	A1	A2	A3	B1	B2	B3	C1	C2	C3
Unigene0000126	1.072	0.2825	0.5853	0.3056	1.4219	0.3424	0.1941	0.079	0.2561
Unigene0000127	7.7018	8.6443	7.0689	6.4315	4.7771	5.3816	3.9834	4.2224	3.857
Unigene0000128	45.7858	53.6966	51.5815	58.9051	40.9487	47.6538	31.1491	34.4568	38.8464
Unigene0000129	0	0	0	0	0	0	0	0	0
Unigene0000130	0.8435	0.712	0.9474	1.5288	0.7773	1.0189	1.0073	1.2679	0.5877
Unigene0000131	4.3933	4.1198	3.9825	3.1886	3.8956	4.4652	3.0941	2.7146	3.165
Unigene0000132	5.6045	3.942	4.2001	2.0468	3.9485	2.5391	2.0288	2.4361	2.5075
Unigene0000133	0.5808	0.1128	0.0685	0.2207	0.9769	0.4722	0.1091	0.1399	0.2428
Unigene0000134	0.6484	0.4196	0.5506	0.2772	0.5816	0.0879	0	0.1784	0.2108
Unigene0000135	0	0	0	0	0	0	0	0	0.7546
Unigene0000136	0	0	0	0	0	0	0	0	0
Unigene0000137	0.2008	0.0487	0	0.2146	0.4728	0	0	0	0.4896
Unigene0000138	0.7602	0.4382	0.2858	0.237	0.7753	0.6117	0.251	0.1226	0.2814
Unigene0000139	2.7149	3.2288	2.5704	3.4336	2.6251	2.8507	2.7984	3.0986	2.6308
Unigene0000140	11.2133	10.3539	11.847	9.948	11.8798	9.6636	26.4084	28.17	33.9283
Unigene0000141	0	0	0	0.0964	0.0911	0.0917	0.8102	0.7681	0.4715
Unigene0000142	4.5803	5.1623	4.1335	4.2824	3.7539	3.166	3.2582	3.5847	2.6023
Unigene0000143	0	0.1158	0	0	0.5218	0.0809	0	0.1231	0
Unigene0000144	18.0863	17.5884	17.897	12.7948	16.3868	16.4249	22.3863	23.1407	23.7896
Unigene0000145	0.0515	0.1501	0.0729	5.141	3.3979	3.5965	0	0.0532	0
Unigene0000146	8.4958	8.5547	8.164	9.8309	10.1843	9.9218	6.2579	6.7887	6.7704
Unigene0000147	0	0	0.0351	0.0707	0.2336	0	0.524	0.3071	0.311
